"cash_per_dau","cash_per_user","cli","date_field","dau","earn_type","experiment","gid","total_cash","users","variant_group","version"
-64.4971788914703,-91.9035232915583,"0",2015-09-09,6026,"spend","content","4",-388660,4229,"2","2"
44.6624620982414,47.5212285456188,"0",2015-09-14,8245,"earn","content","4",368242,7749,"3","2"
-59.8999393571862,-86.3568805735268,"0",2015-09-14,8245,"spend","content","4",-493875,5719,"3","2"
11.9504396482814,1013.5593220339,"0",2015-08-29,5004,"purchase","content","4",59800,59,"1","2"
12.1731403909622,922.115384615385,"0",2015-09-11,7878,"purchase","content","4",95900,104,"3","2"
42.2641533384108,45.1589583615896,"0",2015-09-11,7878,"earn","content","4",332957,7373,"3","2"
52.6851819300404,56.0235514018692,"0",2015-09-03,5689,"earn","content","4",299726,5350,"1","2"
5.99402355422746,577.966101694915,"0",2015-09-03,5689,"purchase","content","4",34100,59,"1","2"
-63.7506589351608,-90.3623910336239,"0",2015-09-07,5691,"spend","content","4",-362805,4015,"1","2"
46.8720787207872,49.8782722513089,"0",2015-09-07,5691,"earn","content","4",266749,5348,"1","2"
-63.9166666666667,-91.3324141388819,"0",2015-09-09,5700,"spend","content","4",-364325,3989,"1","2"
48.0926315789474,51.392575928009,"0",2015-09-09,5700,"earn","content","4",274128,5334,"1","2"
16.414599717685,1334.4262295082,"0",2015-08-28,4959,"purchase","content","4",81400,61,"1","2"
13.475997686524,1109.52380952381,"0",2015-08-29,6916,"purchase","content","4",93200,84,"3","2"
-84.5322440717178,-117.536188178528,"0",2015-08-29,6916,"spend","content","4",-584625,4974,"3","2"
55.0968768074031,58.5060647934899,"0",2015-08-29,6916,"earn","content","4",381050,6513,"3","2"
10.5831124574025,1016.36363636364,"0",2015-08-29,5282,"purchase","content","4",55900,55,"2","2"
-81.7843619840969,-113.980211081794,"0",2015-08-29,5282,"spend","content","4",-431985,3790,"2","2"
57.6495645588792,60.9375625375225,"0",2015-08-29,5282,"earn","content","4",304505,4997,"2","2"
8.83286024378026,696.052631578947,"0",2015-08-31,5989,"purchase","content","4",52900,76,"1","2"
